statement,follow_up_question
I love painting landscapes during the weekend.,What do you enjoy most about painting landscapes?
I recently adopted a dog.,What made you decide to adopt a dog?
I'm learning to play the guitar.,What inspired you to start learning guitar?
I spent last summer in Italy.,What was your favorite part of your trip to Italy?
I enjoy baking bread at home.,How did you get into baking bread?
Iâ€™ve been practicing yoga for three years.,How has yoga changed your daily routine?
I started journaling every night.,What do you usually write about in your journal?
I volunteered at an animal shelter last month.,What was the most memorable part of volunteering there?
I like building model airplanes.,What do you find most rewarding about building them?
I've been trying out new vegetarian recipes.,Which recipe has been your favorite so far?
